Sample code,Bottom layer (cm),u(Bottom layer),Section mass (g),u(Section mass),Po-210 (Bq/kg),u(Po-210),Date Plating,Start Measurement,End Measurement,Pb-210 (Bq/kg),u(Pb-210),Ra-226 (Bq/kg),u(Ra-226 ),Cs-137,u(Cs-137),Start Measurement,End Measurement,Name,Value,Uncertainty
TEH 0-1,1,0.1,84.162,0.001,112.5,5.8,2004-10-11,2004-10-11,2004-10-11,,,,,,,2004-10-11,2004-10-11,Core,TEHUAII,
TEH 1-2,2,0.1,76.436,0.001,108.4,5.7,2004-10-11,2004-10-11,2004-10-11,,,,,,,2004-10-11,2004-10-11,Alpha spectrometry,LHPB,
TEH 2-3,3,0.1,88.073,0.001,102.4,5.4,2004-10-11,2004-10-11,2004-10-11,,,,,,,2004-10-11,2004-10-11,Gamma spectrometry,LHPB,
TEH 3-4,4,0.1,136.069,0.001,103.4,5.4,2004-10-11,2004-10-11,2004-10-11,,,,,,,2004-10-11,2004-10-11,Dating,JASC,
TEH 4-5,5,0.1,99.256,0.001,92.9,5,2004-10-11,2004-10-11,2004-10-11,,,,,,,2004-10-11,2004-10-11,Sampling date,2004-10-11,NA
TEH 5-6,6,0.1,89.176,0.001,86.6,4.8,2004-10-11,2004-10-11,2004-10-11,,,,,1.26,0.19,2004-10-11,2004-10-11,Internal diameter,10,0.1
TEH 6-7,7,0.1,163.809,0.001,70.3,3.9,2004-10-11,2004-10-11,2004-10-11,,,,,1.7,0.26,2004-10-11,2004-10-11,Half life Pb210,22.23,0.12
TEH 7-8,8,0.1,95.119,0.001,51,3,2004-10-11,2004-10-11,2004-10-11,,,,,1.02,0.15,2004-10-11,2004-10-11,Half life Po210,0.3788537,0.0000047
TEH 8-9,9,0.1,105.168,0.001,45.7,2.8,2004-10-11,2004-10-11,2004-10-11,,,,,,,2004-10-11,2004-10-11,Validation label,137Cs,
TEH 9-10,10,0.1,172.739,0.001,43.6,2.6,2004-10-11,2004-10-11,2004-10-11,,,,,,,2004-10-11,2004-10-11,Top layer (cm),6,
TEH 10-11,11,0.1,109.757,0.001,39.7,2.4,2004-10-11,2004-10-11,2004-10-11,,,,,,,2004-10-11,2004-10-11,Mean depth (cm),6.5,
TEH 11-12,12,0.1,100.547,0.001,34.2,2.1,2004-10-11,2004-10-11,2004-10-11,,,,,,,2004-10-11,2004-10-11,Bottom layer (cm),7,
TEH 12-13,13,0.1,119.071,0.001,28,1.8,2004-10-11,2004-10-11,2004-10-11,,,,,,,2004-10-11,2004-10-11,YearUpper,1965,
TEH 13-14,14,0.1,114.389,0.001,23.9,1.5,2004-10-11,2004-10-11,2004-10-11,,,,,,,2004-10-11,2004-10-11,Mean year,1963,
TEH 14-15,15,0.1,111.616,0.001,20.5,1.4,2004-10-11,2004-10-11,2004-10-11,,,,,,,2004-10-11,2004-10-11,YearLower,1961,
TEH 15-16,16,0.1,113.372,0.001,17.1,1.3,2004-10-11,2004-10-11,2004-10-11,,,,,,,2004-10-11,2004-10-11,,,
TEH 16-17,17,0.1,35.491,0.001,14.4,1,2004-10-11,2004-10-11,2004-10-11,,,,,,,2004-10-11,2004-10-11,,,
TEH 17-18,18,0.1,49.514,0.001,15.7,1,2004-10-11,2004-10-11,2004-10-11,,,,,,,2004-10-11,2004-10-11,,,
